region,mean_residual,mean_observed_z,n_obs,expr_Mapt,expr_Apoe,expr_Trem2
"iGlobus pallidus, external segment",-0.46354796101668055,-0.7432511437560504,24.0,-0.8668132723859284,-0.47835134603560414,-0.9385909808600624
"iGlobus pallidus, internal segment",-0.4848513159005201,-0.7432511437560504,24.0,-1.2335217824002702,0.0836383296558446,-0.9587126214763495
iMagnocellular nucleus,,,0.0,1.3059355343528296,-0.1427983688447506,-0.9575016268827684
iMedial septal nucleus,,,0.0,0.18777592260763198,0.19112004019001433,-0.8198344653891103
iDiagonal band nucleus,,,0.0,0.10668019625584349,0.6266211086579068,-0.2518600538575326
iSubstantia innominata,,,0.0,-0.00586169647182742,0.2570005862439094,-0.7858498125487051
iTriangular nucleus of septum,,,0.0,-0.7996762472070131,0.2220116371932273,-0.7678641421360727
iSuperior central nucleus raphe,-0.11646751921169074,-0.2439130769232267,24.0,-0.5947860231180445,0.14521158012769056,0.6305673968077853
iNucleus incertus,0.11494032597926211,-0.2439130769232267,24.0,-1.5450801805166823,2.2443170645262516,-0.2115731989428735
iNucleus of the lateral lemniscus,0.07348462944807022,-0.2439130769232267,24.0,-1.399981777081704,-0.02870204122135584,-0.11226324582221345
iParabrachial nucleus,0.09965793428833541,-0.2439130769232267,24.0,-0.3966254153541636,1.2004564271084028,-0.560063384199542
iPontine central gray,0.07992538166817299,-0.2439130769232267,24.0,-1.3888740813247944,2.3711242396424765,0.4597351580473741
iPontine gray,0.09287224973237508,-0.2439130769232267,24.0,0.17640652857124053,0.2690796325353483,2.2034749798939477
"iPontine reticular nucleus, caudal part",0.0720947646883849,-0.2439130769232267,24.0,-1.087646065008037,0.029579045284241816,-0.6555558641414091
iPontine reticular nucleus,0.05685446550166961,-0.2439130769232267,24.0,-1.0754885375305676,-0.5138417056489403,-0.06030807454552259
iPrincipal sensory nucleus of the trigeminal,0.12533464747331605,-0.2439130769232267,24.0,-1.3823889061620758,-0.2284949807954918,-0.7487488567668057
iSuperior olivary complex,0.1164523967454134,-0.2439130769232267,24.0,-1.200519611255401,0.09840337532195904,-0.14525125308840697
iSupratrigeminal nucleus,0.13176894299519193,-0.2439130769232267,24.0,-1.0552656863932675,1.2635608766711441,0.13997761810145695
iTegmental reticular nucleus,0.10711059037886471,-0.2439130769232267,24.0,-0.2822333229870536,-0.015464670683564267,0.9148824039634015
iMotor nucleus of trigeminal,0.13125930866214544,-0.2439130769232267,24.0,-1.1708693264368495,0.07661277397699595,-0.46208684455624355
iNucleus accumbens,,,0.0,-0.8761532634418235,0.3582198211188717,-0.7247585511450879
iCaudoputamen,-0.6913770184296846,-0.6261413973499897,24.0,-0.9845395351785828,-0.11563769743324279,-0.6849664168215444
iFundus,,,0.0,0.24518320721050826,-0.10263022225101097,-0.9867059576415403
"iLateral septal nucleus, caudal (caudodorsal) part",,,0.0,-0.776338199188558,1.2026407866231088,-0.7101574474574173
"iLateral septal nucleus, rostral (rostroventral) part",,,0.0,-0.07965430227019886,1.0547225570538772,-0.635523089824391
