region,mean_residual,mean_observed_z,n_obs,expr_Mapt,expr_Apoe,expr_Trem2
"iAgranular insular area, dorsal part",-0.13700732648111733,-0.3746026912215407,24.0,1.6652880486632786,-0.07945383862987185,-0.5446113167229149
"iAgranular insular area, posterior part",-0.234902033372822,-0.3746026912215407,24.0,1.4779364363656573,0.21786856191622825,-0.9866190430930823
"iAgranular insular area, ventral part",-0.31886847218897363,-0.3746026912215407,24.0,1.1367674681169773,0.005831159466922134,-0.6430191458183344
iDorsal auditory area,1.4420383871078257,1.2585633723079261,24.0,0.5839004097618015,-0.8564301127929622,-0.6444892737187623
iPrimary auditory area,1.4260942285526899,1.2585633723079261,24.0,0.5126648284418034,-0.9023020765482143,-0.8083744812921128
iVentral auditory area,1.4533829186904335,1.2585633723079261,24.0,1.0768734609473232,-0.5603835793667356,-0.9198844801304045
iEctorhinal area,0.18968901055828521,0.6651554264783004,24.0,0.9109820824854944,0.24379454110371007,0.281673163411846
"iFrontal pole, cerebral cortex",,,0.0,-3.23385132555094,1.7989623532216603,0.2870983398748955
iGustatory areas,,,0.0,1.4376104427994159,0.33049493477507913,-0.7580263360225155
iInfralimbic area,,,0.0,0.4401896660938958,0.006892253077548585,-0.289602965400963
iPrimary motor area,0.20432740386927736,-0.015184379129751195,24.0,0.9819558635802942,-0.5065992240711994,0.01592890181106694
iSecondary motor area,,,0.0,1.4073124402478157,-0.26903562189373675,0.6814817400118741
"iOrbital area, lateral part",,,0.0,1.3536930942468817,-0.3336650636159699,-0.14509336447122753
"iOrbital area, medial part",,,0.0,1.854512453492889,0.03363796319895104,0.11595869120580082
"iOrbital area, ventrolateral part",,,0.0,1.6915400123522473,0.2166222834779761,1.6904014519266592
iPerirhinal area,0.4800016598676105,0.6651554264783004,24.0,1.2612409884863134,-0.20310290692623365,-0.3043614649589895
iPrelimbic area,,,0.0,1.3334616532871422,-0.12098240968960852,0.1320876581631093
iPosterior parietal association areas,1.0379889226870402,0.9728362746472657,24.0,-0.01403690846662861,-1.0075085230185985,1.0775423019760146
"iRetrosplenial area, lateral agranular part",,,0.0,0.9037124380698387,-0.8193130206323327,0.6748357369146443
"iRetrosplenial area, dorsal part",,,0.0,0.239704366560831,-0.8605489568633667,1.4152870012300376
"iRetrosplenial area, ventral part",,,0.0,1.0361728441835731,-0.7198702242383929,1.5116146837267828
"iPrimary somatosensory area, barrel field",-0.1882043135192671,-0.3779792928115761,24.0,0.5694492571111697,-0.9404063259046863,-0.8038051577134696
"iPrimary somatosensory area, lower limb",-0.12254066287194836,-0.3779792928115761,24.0,1.358656804044485,-0.6332223281778873,-0.4526968028515413
"iPrimary somatosensory area, mouth",-0.07947234563991337,-0.3779792928115761,24.0,0.7126664414038709,-0.613755631399866,-0.7574870471681362
"iPrimary somatosensory area, nose",-0.041238981034589804,-0.3779792928115761,24.0,-0.8319245006767104,-0.32319836983948275,-0.7355574804930279
"iPrimary somatosensory area, trunk",-0.26085396523941445,-0.3779792928115761,24.0,0.276818065192815,-0.4190293913769144,0.06478404600982295
"iPrimary somatosensory area, upper limb",-0.12309341847188,-0.3779792928115761,24.0,0.7044255626687647,-0.8669250298244647,-0.790797007173463
iSupplemental somatosensory area,,,0.0,1.2849802648491757,-0.4280011816306752,-0.8417055406127084
iTemporal association areas,,,0.0,0.8829806537161485,-0.03354701142772377,-0.13471888530499582
iAnterolat visual area,,,0.0,1.0083911165751993,-0.8262686946098895,-0.614153465333833
iAnteromedial visual area,,,0.0,0.6410669626664972,-0.972334805102671,0.6253876491247181
iVisceral area,,,0.0,1.7276573601284066,-0.2207268744133602,-0.9846540496230697
iLateral visual area,,,0.0,1.2652369695514676,0.08609786443675059,0.7290249720631543
iPrimary visual area,,,0.0,0.4322209588500421,-0.26641024906191224,0.05002515577909591
iPosterolat visual area,,,0.0,-1.1313946054515676,0.5819349315152125,-0.6360905464687986
iposteromedial visual area,,,0.0,0.7251771213939603,0.3221027138636819,1.1966747064206444
iNucleus ambiguus,0.13450833490539568,-0.2439130769232267,24.0,-0.23278219322642174,-0.2485719861553452,-0.40600621640313644
iDorsal cochlear nucleus,0.1307508874480978,-0.2439130769232267,24.0,-1.6979529763355696,1.3792456514556923,0.7456992641214001
iGigantocellular reticular nucleus,0.10084433126897191,-0.2439130769232267,24.0,-0.7820939917946339,-0.7889190631829661,-0.7636097961071676
iInferior olivary complex,0.09884754099367883,-0.2439130769232267,24.0,-1.2398748231336782,0.41332062017827104,-0.6054283630530082
iIntermediate reticular nucleus,0.10654438726125619,-0.2439130769232267,24.0,-0.3556795313013081,-0.18771687918050647,-0.7114756725416881
iLateral vestibular nucleus,0.1296318238823446,-0.2439130769232267,24.0,-1.3498677767054985,-0.12233595526046345,-0.06912220299974267
iLateral reticular nucleus,0.1284830571169305,-0.2439130769232267,24.0,-0.26851351973270987,0.11586196230784199,-0.8766623008234813
iMagnocellular reticular nucleus,0.11422269390196992,-0.2439130769232267,24.0,-0.6016331264927498,-0.5304175143517611,-0.6192316627421761
"iMedullary reticular nucleus, dorsal part",,,0.0,0.8205949893558881,0.7454068004868557,-0.863862583008091
"iMedullary reticular nucleus, ventral part",,,0.0,-0.3901346617898033,-0.15077667428049607,-0.8487548319489892
iMedial vestibular nucleus,0.1312567515554134,-0.2439130769232267,24.0,-0.4176118261418274,2.4018940114569096,0.4611542447927533
iNucleus of the solitary tract,0.1233750327235178,-0.2439130769232267,24.0,1.357919989600203,1.2181234954010798,-0.35225110089115524
iParvicellular reticular nucleus,0.11743294538344941,-0.2439130769232267,24.0,-0.3874894758380252,-0.01143557875009146,-0.6428762039793953
"iParagigantocellular reticular nucleus, dorsal part",0.13055685594332844,-0.2439130769232267,24.0,-1.2560974065522266,-0.262254783145382,-0.7989241100691316
"iParagigantocellular reticular nucleus, lateral part",0.10377790679371357,-0.2439130769232267,24.0,-0.5088889338112176,-0.3207244809435905,-0.36896931561919455
iNucleus prepositus,0.13384474692452755,-0.2439130769232267,24.0,-0.4036327065206679,3.3780356215280354,-0.21046288605190328
iNucleus raphe magnus,0.12636781073505252,-0.2439130769232267,24.0,-1.2260737269010846,-0.03163776336940024,-0.7910749306861921
iSpinal vestibular nucleus,0.13044752551819344,-0.2439130769232267,24.0,-0.34857402123878667,0.30132380342373344,-0.08337680532859075
"iSpinal nucleus of the trigeminal, caudal part",0.1307033723261717,-0.2439130769232267,24.0,0.7933326466158935,1.1609886483120186,-0.7785956742105604
"iSpinal nucleus of the trigeminal, interpolar part",0.12725927575903043,-0.2439130769232267,24.0,-0.13303599877722921,-0.3997199734169609,-0.3505268772800154
"iSpinal nucleus of the trigeminal, oral part",0.1302054483221544,-0.2439130769232267,24.0,-1.229963205017204,-0.10839414644291934,-0.4726514201625429
