fold,model,family,seed_run,R,rho,dR,drho,dR2,R_persist,dR2_persist_zero,n_params
1,TauODE (no genes),gnn,0,0.9151966421654536,0.8166666666666667,0.4928668764075129,0.5833333333333334,-2.2780301017793723,0.8091730204030457,-2.937003975221515,
1,TauODE (no genes),gnn,1,0.914990488043605,0.8166666666666667,0.49013845216605967,0.5833333333333334,-2.3132262272713637,0.8091730204030457,-2.937003975221515,
1,TauODE (no genes),gnn,2,0.9159487591239281,0.8166666666666667,0.496196646161953,0.5833333333333334,-2.2271301075281427,0.8091730204030457,-2.937003975221515,
1,TauODE (no genes),gnn,3,0.9147925990352935,0.8166666666666667,0.4901499427324448,0.5833333333333334,-2.3203338176292494,0.8091730204030457,-2.937003975221515,
1,TauODE (no genes),gnn,4,0.9146058879383707,0.8166666666666667,0.4923017812896559,0.5833333333333334,-2.2971952376308504,0.8091730204030457,-2.937003975221515,
1,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,0,0.9750722223338725,0.9500000000000001,0.6523243487728578,0.8666666666666667,-0.692773474194361,0.8091730204030457,-2.937003975221515,
1,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,1,0.9508353970634591,0.9166666666666666,0.7237354309079791,0.8499999999999999,-1.0320329936840982,0.8091730204030457,-2.937003975221515,
1,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,2,0.9299064003218449,0.9166666666666666,0.4926995100073708,0.25,-0.7547405360368311,0.8091730204030457,-2.937003975221515,
1,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,3,0.9565193744319448,0.9166666666666666,0.7287303673448033,0.8499999999999999,-1.0505677671094222,0.8091730204030457,-2.937003975221515,
1,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,4,0.9437149705945285,0.9166666666666666,0.7459004487066657,0.8499999999999999,-0.8752905567836504,0.8091730204030457,-2.937003975221515,
2,Persistence (no change),null,0,0.4829761986544325,0.5499999999999999,,,-9.927539412039122,0.4829761986544325,-9.927539412039122,
2,NDM (ACS connectome),diffusion,0,0.47082302529166353,0.5499999999999999,-0.37644772073871086,-0.41666666666666663,-10.05165176193835,0.4829761986544325,-9.927539412039122,1.0
2,NDM (HCP fibercount),diffusion,0,0.46938074815295416,0.5499999999999999,-0.22666295953209845,-0.18333333333333335,-10.013051398851516,0.4829761986544325,-9.927539412039122,1.0
2,FKPP (ACS connectome),diffusion,0,0.5619209591429342,0.5499999999999999,0.07201805602895617,0.08333333333333334,-1.2374570189960128,0.4829761986544325,-9.927539412039122,2.0
2,FKPP + genes (MAPT/APOE/TREM2),diffusion+genes,0,0.5619209591429342,0.5499999999999999,0.07201805602895617,0.08333333333333334,-1.2374570189960128,0.4829761986544325,-9.927539412039122,3.0
2,NDM on distance graph,null-network,0,0.4950880734147992,0.5666666666666667,0.3317744417035456,0.13333333333333333,-10.095272063248185,0.4829761986544325,-9.927539412039122,1.0
2,FKPP on distance graph,null-network,0,0.5799726427096755,0.5666666666666667,0.1659479079303183,0.2333333333333333,-1.1224956254804037,0.4829761986544325,-9.927539412039122,2.0
2,NDM on rewired connectome,null-network,0,0.45678555767883716,0.5,-0.3590245447944935,-0.33333333333333337,-10.020309550859947,0.4829761986544325,-9.927539412039122,1.0
2,FKPP on rewired connectome,null-network,0,0.5424895298218843,0.5,0.03201834096865346,-0.2333333333333333,-1.1849250558649982,0.4829761986544325,-9.927539412039122,2.0
2,TauODE (no genes),gnn,0,0.6267391934259222,0.5499999999999999,0.6618123562890552,0.75,-6.466421223997739,0.4829761986544325,-9.927539412039122,
2,TauODE (no genes),gnn,1,0.6267968174620855,0.5499999999999999,0.6630814106787211,0.75,-6.498573515959663,0.4829761986544325,-9.927539412039122,
2,TauODE (no genes),gnn,2,0.6267066831445325,0.5499999999999999,0.659856072448539,0.75,-6.421710938447829,0.4829761986544325,-9.927539412039122,
2,TauODE (no genes),gnn,3,0.6268034519301597,0.5499999999999999,0.6633703580809507,0.75,-6.486676447824947,0.4829761986544325,-9.927539412039122,
2,TauODE (no genes),gnn,4,0.6267815565245578,0.5499999999999999,0.6630119293534624,0.75,-6.478900188165933,0.4829761986544325,-9.927539412039122,
2,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,0,0.7316409219561467,0.75,0.6025787813959623,0.5333333333333333,-5.003751433014633,0.4829761986544325,-9.927539412039122,
2,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,1,0.8207859082566006,0.8166666666666667,0.7624595171363382,0.8833333333333333,-4.627374771275411,0.4829761986544325,-9.927539412039122,
2,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,2,0.8048618307435509,0.8166666666666667,0.7404135074541546,0.7,-4.835483816616221,0.4829761986544325,-9.927539412039122,
2,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,3,0.710429063455435,0.75,0.5505606920545958,0.5333333333333333,-4.515443654384696,0.4829761986544325,-9.927539412039122,
2,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,4,0.8386698458477594,0.7833333333333333,0.7884763541550665,0.8833333333333333,-4.436948686663268,0.4829761986544325,-9.927539412039122,
3,Persistence (no change),null,0,0.8759120313188634,0.8666666666666667,,,-2.446948902410346,0.8759120313188634,-2.446948902410346,
3,NDM (ACS connectome),diffusion,0,0.8723628550410806,0.8666666666666667,-0.07682496773610509,-0.049999999999999996,-2.397493804173317,0.8759120313188634,-2.446948902410346,1.0
3,NDM (HCP fibercount),diffusion,0,0.8763405319048558,0.8666666666666667,0.08511081484192558,0.13333333333333333,-2.3786518393911193,0.8759120313188634,-2.446948902410346,1.0
3,FKPP (ACS connectome),diffusion,0,0.8741591011411934,0.8666666666666667,0.39230023495254185,0.41666666666666663,-0.1857336205239073,0.8759120313188634,-2.446948902410346,2.0
3,FKPP + genes (MAPT/APOE/TREM2),diffusion+genes,0,0.8741591011411934,0.8666666666666667,0.39230023495254185,0.41666666666666663,-0.1857336205239073,0.8759120313188634,-2.446948902410346,3.0
3,NDM on distance graph,null-network,0,0.8703307135211815,0.8666666666666667,-0.027618645220796646,-0.5333333333333333,-2.4388558782902012,0.8759120313188634,-2.446948902410346,1.0
3,FKPP on distance graph,null-network,0,0.8681231582304921,0.8666666666666667,0.3559524620029069,0.41666666666666663,-0.15876340239974795,0.8759120313188634,-2.446948902410346,2.0
3,NDM on rewired connectome,null-network,0,0.870460479425038,0.8666666666666667,-0.1296727350876661,-0.2333333333333333,-2.4179032311482174,0.8759120313188634,-2.446948902410346,1.0
3,FKPP on rewired connectome,null-network,0,0.8762131365044327,0.8666666666666667,0.3876801159969108,0.41666666666666663,-0.160483579054836,0.8759120313188634,-2.446948902410346,2.0
3,TauODE (no genes),gnn,0,0.8885927771038579,0.8666666666666667,0.2798446979987537,0.39999999999999997,-1.9169613686390976,0.8759120313188634,-2.446948902410346,
3,TauODE (no genes),gnn,1,0.8886301477040355,0.8666666666666667,0.2781888185171857,0.39999999999999997,-1.9374613543806305,0.8759120313188634,-2.446948902410346,
